@relation extracted_sessions_numeric
@attribute duration integer
@attribute requests_count integer
@attribute average_request_duration real
@data
177,2,177.0
153,2,153.0
747,4,249.0
128,2,128.0
431,3,215.5
248,3,124.0
102,2,102.0
404,2,404.0
94,2,94.0
402,2,402.0
552,2,552.0
152,5,38.0
25,2,25.0
22,2,22.0
735,10,81.66666666666667
441,2,441.0
87,2,87.0
77,2,77.0
413,5,103.25
19,2,19.0
234,2,234.0
24,4,8.0
234,10,26.0
497,4,165.66666666666666
457,3,228.5
1050,10,116.66666666666667
245,10,27.22222222222222
273,3,136.5
281,4,93.66666666666667
237,2,237.0
509,4,169.66666666666666
18,2,18.0
548,10,60.888888888888886
299,3,149.5
44,2,44.0
286,2,286.0
236,3,118.0
32,2,32.0
192,2,192.0
24,2,24.0
280,4,93.33333333333333
37,3,18.5
225,5,56.25
92,2,92.0
124,2,124.0
562,7,93.66666666666667
187,2,187.0
808,9,101.0
908,8,129.71428571428572
31,2,31.0
39,2,39.0
526,4,175.33333333333334
106,4,35.333333333333336
30,2,30.0
329,3,164.5
834,5,208.5
20,2,20.0
14,2,14.0
470,4,156.66666666666666
12,2,12.0
23,2,23.0
27,2,27.0
178,2,178.0
88,3,44.0
45,2,45.0
291,5,72.75
160,2,160.0
519,5,129.75
394,2,394.0
545,2,545.0
122,2,122.0
16,2,16.0
221,2,221.0
73,3,36.5
208,2,208.0
451,2,451.0
533,4,177.66666666666666
56,3,28.0
88,2,88.0
95,2,95.0
386,2,386.0
123,2,123.0
1006,12,91.45454545454545
285,11,28.5
28,2,28.0
211,2,211.0
162,3,81.0
224,2,224.0
337,2,337.0
39,3,19.5
31,2,31.0
115,2,115.0
275,4,91.66666666666667
240,2,240.0
534,11,53.4
382,2,382.0
131,3,65.5
446,2,446.0
187,5,46.75
188,4,62.666666666666664
20,2,20.0
78,2,78.0
497,3,248.5
956,6,191.2
274,3,137.0
29,2,29.0
172,2,172.0
74,3,37.0
316,2,316.0
19,2,19.0
382,8,54.57142857142857
26,2,26.0
16,3,8.0
436,8,62.285714285714285
165,6,33.0
933,5,233.25
507,4,169.0
19,2,19.0
34,2,34.0
715,5,178.75
695,3,347.5
36,3,18.0
45,2,45.0
232,3,116.0
152,2,152.0
306,5,76.5
3,2,3.0
48,2,48.0
21,2,21.0
209,2,209.0
129,2,129.0
113,4,37.666666666666664
716,4,238.66666666666666
470,2,470.0
279,2,279.0
431,2,431.0
9,2,9.0
67,2,67.0
398,9,49.75
35,2,35.0
42,2,42.0
21,2,21.0
327,2,327.0
193,2,193.0
128,2,128.0
1938,8,276.85714285714283
258,2,258.0
88,2,88.0
73,2,73.0
78,2,78.0
233,3,116.5
386,3,193.0
317,4,105.66666666666667
222,4,74.0
412,3,206.0
1040,3,520.0
215,2,215.0
129,2,129.0
336,6,67.2
259,2,259.0
46,3,23.0
111,3,55.5
214,4,71.33333333333333
443,10,49.22222222222222
23,2,23.0
368,3,184.0
205,3,102.5
106,3,53.0
113,2,113.0
609,3,304.5
378,3,189.0
25,2,25.0
429,4,143.0
12,2,12.0
435,2,435.0
78,3,39.0
221,6,44.2
239,3,119.5
105,2,105.0
12,2,12.0
36,2,36.0
361,2,361.0
9,2,9.0
263,2,263.0
1054,5,263.5
508,2,508.0
419,2,419.0
574,8,82.0
658,6,131.6
179,7,29.833333333333332
99,2,99.0
198,3,99.0
33,2,33.0
362,4,120.66666666666667
588,2,588.0
239,3,119.5
23,2,23.0
430,2,430.0
20,2,20.0
641,3,320.5
73,3,36.5
568,2,568.0
22,2,22.0
250,2,250.0
556,5,139.0
309,5,77.25
335,3,167.5
377,2,377.0
573,3,286.5
39,2,39.0
63,2,63.0
46,2,46.0
29,2,29.0
554,5,138.5
942,4,314.0
881,4,293.6666666666667
25,2,25.0
48,2,48.0
17,2,17.0
209,2,209.0
138,2,138.0
36,2,36.0
275,3,137.5
131,3,65.5
184,3,92.0
320,2,320.0
62,2,62.0
383,3,191.5
1030,9,128.75
172,6,34.4
50,3,25.0
40,2,40.0
80,5,20.0
55,4,18.333333333333332
225,5,56.25
46,2,46.0
28,2,28.0
50,2,50.0
23,2,23.0
17,2,17.0
246,5,61.5
20,2,20.0
175,2,175.0
120,3,60.0
34,3,17.0
21,2,21.0
277,3,138.5
11,2,11.0
101,4,33.666666666666664
408,2,408.0
696,3,348.0
517,2,517.0
398,2,398.0
37,2,37.0
111,2,111.0
286,3,143.0
49,2,49.0
1381,16,92.06666666666666
410,2,410.0
42,2,42.0
229,5,57.25
1444,18,84.94117647058823
948,12,86.18181818181819
392,5,98.0
16,2,16.0
666,7,111.0
509,3,254.5
689,4,229.66666666666666
460,2,460.0
306,2,306.0
47,2,47.0
228,2,228.0
56,2,56.0
679,3,339.5
440,6,88.0
149,3,74.5
47,2,47.0
610,6,122.0
67,3,33.5
229,2,229.0
1316,4,438.6666666666667
74,2,74.0
255,2,255.0
61,3,30.5
31,3,15.5
127,5,31.75
103,3,51.5
232,3,116.0
60,4,20.0
197,2,197.0
607,3,303.5
355,3,177.5
247,5,61.75
51,4,17.0
255,7,42.5
560,3,280.0
484,3,242.0
355,3,177.5
222,2,222.0
577,2,577.0
12,2,12.0
572,2,572.0
172,5,43.0
1226,11,122.6
137,5,34.25
518,2,518.0
293,9,36.625
681,6,136.2
180,2,180.0
724,5,181.0
726,7,121.0
84,5,21.0
163,4,54.333333333333336
11,2,11.0
12,2,12.0
544,9,68.0
55,3,27.5
95,3,47.5
447,11,44.7
551,5,137.75
525,4,175.0
210,4,70.0
379,6,75.8
361,2,361.0
849,6,169.8
45,2,45.0
78,3,39.0
62,2,62.0
134,5,33.5
494,7,82.33333333333333
93,4,31.0
31,3,15.5
233,4,77.66666666666667
168,4,56.0
720,11,72.0
103,3,51.5
315,5,78.75
93,4,31.0
82,2,82.0
508,5,127.0
225,2,225.0
31,2,31.0
258,2,258.0
573,2,573.0
469,3,234.5
378,3,189.0
378,2,378.0
137,2,137.0
801,3,400.5
424,3,212.0
1262,5,315.5
478,2,478.0
165,2,165.0
353,2,353.0
339,4,113.0
322,3,161.0
17,2,17.0
11,2,11.0
78,3,39.0
717,5,179.25
39,2,39.0
301,4,100.33333333333333
275,2,275.0
305,2,305.0
30,2,30.0
18,2,18.0
32,2,32.0
60,2,60.0
25,2,25.0
578,2,578.0
542,2,542.0
585,2,585.0
437,3,218.5
88,3,44.0
230,4,76.66666666666667
33,2,33.0
1173,9,146.625
208,3,104.0
370,3,185.0
884,9,110.5
700,5,175.0
119,2,119.0
35,2,35.0
260,2,260.0
448,2,448.0
934,5,233.5
560,3,280.0
22,2,22.0
271,2,271.0
658,4,219.33333333333334
